,Detector Type,Descriptor Type,Matcher Type,Selector Type,ttcLidar,ttcCamera
0,FAST,BRISK,MAT_BF,SEL_NN,12.6142,-625.31
1,FAST,BRISK,MAT_BF,SEL_NN,14.091,-0.686391
2,FAST,BRISK,MAT_BF,SEL_NN,16.6894,-14.3717
3,FAST,BRISK,MAT_BF,SEL_NN,15.7465,-36.4424
4,FAST,BRISK,MAT_BF,SEL_NN,12.7835,-0.536231
5,FAST,BRISK,MAT_BF,SEL_NN,11.9844,-9.80103
6,FAST,BRISK,MAT_BF,SEL_NN,13.1241,-1.05721
7,FAST,BRISK,MAT_BF,SEL_NN,13.0241,-1.20359
8,FAST,BRISK,MAT_BF,SEL_NN,11.1746,-39.7114
9,FAST,BRISK,MAT_BF,SEL_NN,12.8086,-113.652
10,FAST,BRISK,MAT_BF,SEL_NN,8.95978,-11.7726
11,FAST,BRISK,MAT_BF,SEL_NN,9.96439,-225.31
12,FAST,BRISK,MAT_BF,SEL_NN,9.59863,-1.07179
13,FAST,BRISK,MAT_BF,SEL_NN,8.52157,-2.4456599999999997
14,FAST,BRISK,MAT_BF,SEL_NN,9.51552,-133.282
15,FAST,BRISK,MAT_BF,SEL_NN,9.61241,25.4466
16,FAST,BRISK,MAT_BF,SEL_NN,8.3988,-114.59
0,SIFT,BRIEF,MAT_FLANN,SEL_KNN,12.6142,14.3372
1,SIFT,BRIEF,MAT_FLANN,SEL_KNN,14.091,15.0801
2,SIFT,BRIEF,MAT_FLANN,SEL_KNN,16.6894,21.4355
3,SIFT,BRIEF,MAT_FLANN,SEL_KNN,15.7465,13.5967
4,SIFT,BRIEF,MAT_FLANN,SEL_KNN,12.7835,12.5584
5,SIFT,BRIEF,MAT_FLANN,SEL_KNN,11.9844,14.5816
6,SIFT,BRIEF,MAT_FLANN,SEL_KNN,13.1241,15.4797
7,SIFT,BRIEF,MAT_FLANN,SEL_KNN,13.0241,13.167
8,SIFT,BRIEF,MAT_FLANN,SEL_KNN,11.1746,10.3097
9,SIFT,BRIEF,MAT_FLANN,SEL_KNN,12.8086,13.0457
10,SIFT,BRIEF,MAT_FLANN,SEL_KNN,8.95978,9.87036
11,SIFT,BRIEF,MAT_FLANN,SEL_KNN,9.96439,9.99456
12,SIFT,BRIEF,MAT_FLANN,SEL_KNN,9.59863,9.2679
13,SIFT,BRIEF,MAT_FLANN,SEL_KNN,8.52157,9.99457
14,SIFT,BRIEF,MAT_FLANN,SEL_KNN,9.51552,9.069230000000001
