Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
AKAZE,AKAZE,MAT_BF,SEL_KNN,12.5156,12.3444
AKAZE,AKAZE,MAT_BF,SEL_KNN,12.6142,14.0983
AKAZE,AKAZE,MAT_BF,SEL_KNN,14.091,12.8828
AKAZE,AKAZE,MAT_BF,SEL_KNN,16.6894,14.4781
AKAZE,AKAZE,MAT_BF,SEL_KNN,15.7465,16.7468
AKAZE,AKAZE,MAT_BF,SEL_KNN,12.7835,13.8675
AKAZE,AKAZE,MAT_BF,SEL_KNN,11.9844,15.3462
AKAZE,AKAZE,MAT_BF,SEL_KNN,13.1241,14.1378
AKAZE,AKAZE,MAT_BF,SEL_KNN,13.0241,13.8398
AKAZE,AKAZE,MAT_BF,SEL_KNN,11.1746,11.5483
AKAZE,AKAZE,MAT_BF,SEL_KNN,12.8086,12.1341
AKAZE,AKAZE,MAT_BF,SEL_KNN,8.95978,11.0555
AKAZE,AKAZE,MAT_BF,SEL_KNN,9.96439,11.2852
AKAZE,AKAZE,MAT_BF,SEL_KNN,9.59863,10.5845
AKAZE,AKAZE,MAT_BF,SEL_KNN,8.52157,10.1989
AKAZE,AKAZE,MAT_BF,SEL_KNN,9.51552,9.8136
AKAZE,AKAZE,MAT_BF,SEL_KNN,9.61241,9.06452
AKAZE,AKAZE,MAT_BF,SEL_KNN,8.3988,8.97398
