Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
AKAZE,AKAZE,MAT_BF,SEL_NN,12.5156,15.4404
AKAZE,AKAZE,MAT_BF,SEL_NN,12.6142,21.0712
AKAZE,AKAZE,MAT_BF,SEL_NN,14.091,15.002
AKAZE,AKAZE,MAT_BF,SEL_NN,16.6894,20.9137
AKAZE,AKAZE,MAT_BF,SEL_NN,15.7465,23.7839
AKAZE,AKAZE,MAT_BF,SEL_NN,12.7835,13.6631
AKAZE,AKAZE,MAT_BF,SEL_NN,11.9844,16.0322
AKAZE,AKAZE,MAT_BF,SEL_NN,13.1241,16.2404
AKAZE,AKAZE,MAT_BF,SEL_NN,13.0241,15.2002
AKAZE,AKAZE,MAT_BF,SEL_NN,11.1746,13.2875
AKAZE,AKAZE,MAT_BF,SEL_NN,12.8086,13.5475
AKAZE,AKAZE,MAT_BF,SEL_NN,8.95978,18.7503
AKAZE,AKAZE,MAT_BF,SEL_NN,9.96439,12.5258
AKAZE,AKAZE,MAT_BF,SEL_NN,9.59863,11.842
AKAZE,AKAZE,MAT_BF,SEL_NN,8.52157,19.5116
AKAZE,AKAZE,MAT_BF,SEL_NN,9.51552,13.7219
AKAZE,AKAZE,MAT_BF,SEL_NN,9.61241,11.3849
AKAZE,AKAZE,MAT_BF,SEL_NN,8.3988,9.91155
