Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,12.5156,12.44
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,12.6142,14.3689
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,14.091,12.9095
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,16.6894,14.5112
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,15.7465,16.6795
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,12.7835,13.8544
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,11.9844,15.3462
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,13.1241,14.1378
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,13.0241,13.864
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,11.1746,11.5569
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,12.8086,12.1341
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,8.95978,11.0555
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,9.96439,11.2852
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,9.59863,10.5845
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,8.52157,10.2172
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,9.51552,9.95442
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,9.61241,9.13667
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,8.3988,8.97411
