Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
AKAZE,AKAZE,MAT_FLANN,SEL_NN,12.5156,15.9999
AKAZE,AKAZE,MAT_FLANN,SEL_NN,12.6142,19.8185
AKAZE,AKAZE,MAT_FLANN,SEL_NN,14.091,14.9025
AKAZE,AKAZE,MAT_FLANN,SEL_NN,16.6894,22.7056
AKAZE,AKAZE,MAT_FLANN,SEL_NN,15.7465,21.106
AKAZE,AKAZE,MAT_FLANN,SEL_NN,12.7835,13.4992
AKAZE,AKAZE,MAT_FLANN,SEL_NN,11.9844,16.6061
AKAZE,AKAZE,MAT_FLANN,SEL_NN,13.1241,16.7428
AKAZE,AKAZE,MAT_FLANN,SEL_NN,13.0241,15.3227
AKAZE,AKAZE,MAT_FLANN,SEL_NN,11.1746,13.2389
AKAZE,AKAZE,MAT_FLANN,SEL_NN,12.8086,13.4755
AKAZE,AKAZE,MAT_FLANN,SEL_NN,8.95978,21.6827
AKAZE,AKAZE,MAT_FLANN,SEL_NN,9.96439,13.1039
AKAZE,AKAZE,MAT_FLANN,SEL_NN,9.59863,11.3418
AKAZE,AKAZE,MAT_FLANN,SEL_NN,8.52157,17.3782
AKAZE,AKAZE,MAT_FLANN,SEL_NN,9.51552,14.1236
AKAZE,AKAZE,MAT_FLANN,SEL_NN,9.61241,10.9989
AKAZE,AKAZE,MAT_FLANN,SEL_NN,8.3988,10.5076
