Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,BRIEF,MAT_BF,SEL_NN,12.5156,19.5255
BRISK,BRIEF,MAT_BF,SEL_NN,12.6142,26.3919
BRISK,BRIEF,MAT_BF,SEL_NN,14.091,13.086
BRISK,BRIEF,MAT_BF,SEL_NN,16.6894,25.5861
BRISK,BRIEF,MAT_BF,SEL_NN,15.7465,31.1908
BRISK,BRIEF,MAT_BF,SEL_NN,12.7835,26.8787
BRISK,BRIEF,MAT_BF,SEL_NN,11.9844,19.8354
BRISK,BRIEF,MAT_BF,SEL_NN,13.1241,21.7126
BRISK,BRIEF,MAT_BF,SEL_NN,13.0241,17.1026
BRISK,BRIEF,MAT_BF,SEL_NN,11.1746,15.1614
BRISK,BRIEF,MAT_BF,SEL_NN,12.8086,12.0335
BRISK,BRIEF,MAT_BF,SEL_NN,8.95978,14.6907
BRISK,BRIEF,MAT_BF,SEL_NN,9.96439,14.5774
BRISK,BRIEF,MAT_BF,SEL_NN,9.59863,10.6288
BRISK,BRIEF,MAT_BF,SEL_NN,8.52157,12.147
BRISK,BRIEF,MAT_BF,SEL_NN,9.51552,14.6718
BRISK,BRIEF,MAT_BF,SEL_NN,9.61241,11.2256
BRISK,BRIEF,MAT_BF,SEL_NN,8.3988,10.3103
