Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,BRIEF,MAT_FLANN,SEL_KNN,12.5156,12.8448
BRISK,BRIEF,MAT_FLANN,SEL_KNN,12.6142,17.0882
BRISK,BRIEF,MAT_FLANN,SEL_KNN,14.091,11.6672
BRISK,BRIEF,MAT_FLANN,SEL_KNN,16.6894,20.5725
BRISK,BRIEF,MAT_FLANN,SEL_KNN,15.7465,19.7052
BRISK,BRIEF,MAT_FLANN,SEL_KNN,12.7835,17.5642
BRISK,BRIEF,MAT_FLANN,SEL_KNN,11.9844,15.5883
BRISK,BRIEF,MAT_FLANN,SEL_KNN,13.1241,18.7451
BRISK,BRIEF,MAT_FLANN,SEL_KNN,13.0241,15.4645
BRISK,BRIEF,MAT_FLANN,SEL_KNN,11.1746,11.4853
BRISK,BRIEF,MAT_FLANN,SEL_KNN,12.8086,13.3676
BRISK,BRIEF,MAT_FLANN,SEL_KNN,8.95978,14.3096
BRISK,BRIEF,MAT_FLANN,SEL_KNN,9.96439,12.3266
BRISK,BRIEF,MAT_FLANN,SEL_KNN,9.59863,10.9457
BRISK,BRIEF,MAT_FLANN,SEL_KNN,8.52157,11.6294
BRISK,BRIEF,MAT_FLANN,SEL_KNN,9.51552,12.1739
BRISK,BRIEF,MAT_FLANN,SEL_KNN,9.61241,11.3792
BRISK,BRIEF,MAT_FLANN,SEL_KNN,8.3988,10.7022
