Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,BRISK,MAT_BF,SEL_KNN,12.5156,13.4086
BRISK,BRISK,MAT_BF,SEL_KNN,12.6142,21.5276
BRISK,BRISK,MAT_BF,SEL_KNN,14.091,12.625
BRISK,BRISK,MAT_BF,SEL_KNN,16.6894,15.2037
BRISK,BRISK,MAT_BF,SEL_KNN,15.7465,27.6679
BRISK,BRISK,MAT_BF,SEL_KNN,12.7835,18.3114
BRISK,BRISK,MAT_BF,SEL_KNN,11.9844,17.1427
BRISK,BRISK,MAT_BF,SEL_KNN,13.1241,16.0991
BRISK,BRISK,MAT_BF,SEL_KNN,13.0241,14.801
BRISK,BRISK,MAT_BF,SEL_KNN,11.1746,13.9297
BRISK,BRISK,MAT_BF,SEL_KNN,12.8086,13.1359
BRISK,BRISK,MAT_BF,SEL_KNN,8.95978,11.3409
BRISK,BRISK,MAT_BF,SEL_KNN,9.96439,11.8565
BRISK,BRISK,MAT_BF,SEL_KNN,9.59863,12.4013
BRISK,BRISK,MAT_BF,SEL_KNN,8.52157,12.7089
BRISK,BRISK,MAT_BF,SEL_KNN,9.51552,11.503
BRISK,BRISK,MAT_BF,SEL_KNN,9.61241,9.29379
BRISK,BRISK,MAT_BF,SEL_KNN,8.3988,10.7753
