Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,BRISK,MAT_BF,SEL_NN,12.5156,28.9225
BRISK,BRISK,MAT_BF,SEL_NN,12.6142,61.9163
BRISK,BRISK,MAT_BF,SEL_NN,14.091,18.7043
BRISK,BRISK,MAT_BF,SEL_NN,16.6894,31.1267
BRISK,BRISK,MAT_BF,SEL_NN,15.7465,70.6119
BRISK,BRISK,MAT_BF,SEL_NN,12.7835,70.7064
BRISK,BRISK,MAT_BF,SEL_NN,11.9844,32.7785
BRISK,BRISK,MAT_BF,SEL_NN,13.1241,28.3591
BRISK,BRISK,MAT_BF,SEL_NN,13.0241,20.056
BRISK,BRISK,MAT_BF,SEL_NN,11.1746,61.2615
BRISK,BRISK,MAT_BF,SEL_NN,12.8086,25.5085
BRISK,BRISK,MAT_BF,SEL_NN,8.95978,30.6352
BRISK,BRISK,MAT_BF,SEL_NN,9.96439,14.3628
BRISK,BRISK,MAT_BF,SEL_NN,9.59863,20.9858
BRISK,BRISK,MAT_BF,SEL_NN,8.52157,18.2518
BRISK,BRISK,MAT_BF,SEL_NN,9.51552,15.123
BRISK,BRISK,MAT_BF,SEL_NN,9.61241,10.962
BRISK,BRISK,MAT_BF,SEL_NN,8.3988,15.0117
