Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,BRISK,MAT_FLANN,SEL_KNN,12.5156,13.3056
BRISK,BRISK,MAT_FLANN,SEL_KNN,12.6142,22.43
BRISK,BRISK,MAT_FLANN,SEL_KNN,14.091,12.5153
BRISK,BRISK,MAT_FLANN,SEL_KNN,16.6894,15.3808
BRISK,BRISK,MAT_FLANN,SEL_KNN,15.7465,26.2333
BRISK,BRISK,MAT_FLANN,SEL_KNN,12.7835,19.6846
BRISK,BRISK,MAT_FLANN,SEL_KNN,11.9844,17.1181
BRISK,BRISK,MAT_FLANN,SEL_KNN,13.1241,16.0991
BRISK,BRISK,MAT_FLANN,SEL_KNN,13.0241,14.5039
BRISK,BRISK,MAT_FLANN,SEL_KNN,11.1746,13.9297
BRISK,BRISK,MAT_FLANN,SEL_KNN,12.8086,13.2621
BRISK,BRISK,MAT_FLANN,SEL_KNN,8.95978,11.3539
BRISK,BRISK,MAT_FLANN,SEL_KNN,9.96439,11.9867
BRISK,BRISK,MAT_FLANN,SEL_KNN,9.59863,12.3693
BRISK,BRISK,MAT_FLANN,SEL_KNN,8.52157,12.2908
BRISK,BRISK,MAT_FLANN,SEL_KNN,9.51552,11.405
BRISK,BRISK,MAT_FLANN,SEL_KNN,9.61241,9.20252
BRISK,BRISK,MAT_FLANN,SEL_KNN,8.3988,10.6963
