Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,FREAK,MAT_BF,SEL_KNN,12.5156,12.7581
BRISK,FREAK,MAT_BF,SEL_KNN,12.6142,24.137
BRISK,FREAK,MAT_BF,SEL_KNN,14.091,13.9605
BRISK,FREAK,MAT_BF,SEL_KNN,16.6894,13.9445
BRISK,FREAK,MAT_BF,SEL_KNN,15.7465,23.0697
BRISK,FREAK,MAT_BF,SEL_KNN,12.7835,16.8726
BRISK,FREAK,MAT_BF,SEL_KNN,11.9844,15.5199
BRISK,FREAK,MAT_BF,SEL_KNN,13.1241,18.7996
BRISK,FREAK,MAT_BF,SEL_KNN,13.0241,14.9704
BRISK,FREAK,MAT_BF,SEL_KNN,11.1746,13.7438
BRISK,FREAK,MAT_BF,SEL_KNN,12.8086,12.8798
BRISK,FREAK,MAT_BF,SEL_KNN,8.95978,11.4537
BRISK,FREAK,MAT_BF,SEL_KNN,9.96439,11.4422
BRISK,FREAK,MAT_BF,SEL_KNN,9.59863,11.2969
BRISK,FREAK,MAT_BF,SEL_KNN,8.52157,13.3442
BRISK,FREAK,MAT_BF,SEL_KNN,9.51552,10.3718
BRISK,FREAK,MAT_BF,SEL_KNN,9.61241,9.33041
BRISK,FREAK,MAT_BF,SEL_KNN,8.3988,10.9372
