Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,FREAK,MAT_FLANN,SEL_KNN,12.5156,12.5212
BRISK,FREAK,MAT_FLANN,SEL_KNN,12.6142,23.5139
BRISK,FREAK,MAT_FLANN,SEL_KNN,14.091,14.0744
BRISK,FREAK,MAT_FLANN,SEL_KNN,16.6894,14.6534
BRISK,FREAK,MAT_FLANN,SEL_KNN,15.7465,22.8032
BRISK,FREAK,MAT_FLANN,SEL_KNN,12.7835,16.8336
BRISK,FREAK,MAT_FLANN,SEL_KNN,11.9844,15.5199
BRISK,FREAK,MAT_FLANN,SEL_KNN,13.1241,18.33
BRISK,FREAK,MAT_FLANN,SEL_KNN,13.0241,15.4585
BRISK,FREAK,MAT_FLANN,SEL_KNN,11.1746,13.7623
BRISK,FREAK,MAT_FLANN,SEL_KNN,12.8086,12.7313
BRISK,FREAK,MAT_FLANN,SEL_KNN,8.95978,11.269
BRISK,FREAK,MAT_FLANN,SEL_KNN,9.96439,11.3941
BRISK,FREAK,MAT_FLANN,SEL_KNN,9.59863,11.2969
BRISK,FREAK,MAT_FLANN,SEL_KNN,8.52157,13.1168
BRISK,FREAK,MAT_FLANN,SEL_KNN,9.51552,10.3718
BRISK,FREAK,MAT_FLANN,SEL_KNN,9.61241,9.33041
BRISK,FREAK,MAT_FLANN,SEL_KNN,8.3988,11.0962
