Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,FREAK,MAT_FLANN,SEL_NN,12.5156,30.109
BRISK,FREAK,MAT_FLANN,SEL_NN,12.6142,-inf
BRISK,FREAK,MAT_FLANN,SEL_NN,14.091,27.4865
BRISK,FREAK,MAT_FLANN,SEL_NN,16.6894,29.3055
BRISK,FREAK,MAT_FLANN,SEL_NN,15.7465,51.1155
BRISK,FREAK,MAT_FLANN,SEL_NN,12.7835,16.9881
BRISK,FREAK,MAT_FLANN,SEL_NN,11.9844,36.8214
BRISK,FREAK,MAT_FLANN,SEL_NN,13.1241,29.5532
BRISK,FREAK,MAT_FLANN,SEL_NN,13.0241,19.3146
BRISK,FREAK,MAT_FLANN,SEL_NN,11.1746,21.6279
BRISK,FREAK,MAT_FLANN,SEL_NN,12.8086,15.8498
BRISK,FREAK,MAT_FLANN,SEL_NN,8.95978,25.4388
BRISK,FREAK,MAT_FLANN,SEL_NN,9.96439,19.1883
BRISK,FREAK,MAT_FLANN,SEL_NN,9.59863,14.5909
BRISK,FREAK,MAT_FLANN,SEL_NN,8.52157,14.3582
BRISK,FREAK,MAT_FLANN,SEL_NN,9.51552,16.862
BRISK,FREAK,MAT_FLANN,SEL_NN,9.61241,9.83015
BRISK,FREAK,MAT_FLANN,SEL_NN,8.3988,15.4182
