Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,ORB,MAT_BF,SEL_KNN,12.5156,14.6839
BRISK,ORB,MAT_BF,SEL_KNN,12.6142,20.3646
BRISK,ORB,MAT_BF,SEL_KNN,14.091,13.2508
BRISK,ORB,MAT_BF,SEL_KNN,16.6894,16.3706
BRISK,ORB,MAT_BF,SEL_KNN,15.7465,20.2973
BRISK,ORB,MAT_BF,SEL_KNN,12.7835,21.3891
BRISK,ORB,MAT_BF,SEL_KNN,11.9844,16.4769
BRISK,ORB,MAT_BF,SEL_KNN,13.1241,16.1591
BRISK,ORB,MAT_BF,SEL_KNN,13.0241,14.9216
BRISK,ORB,MAT_BF,SEL_KNN,11.1746,11.5139
BRISK,ORB,MAT_BF,SEL_KNN,12.8086,13.7091
BRISK,ORB,MAT_BF,SEL_KNN,8.95978,11.024
BRISK,ORB,MAT_BF,SEL_KNN,9.96439,11.7553
BRISK,ORB,MAT_BF,SEL_KNN,9.59863,12.4047
BRISK,ORB,MAT_BF,SEL_KNN,8.52157,11.4092
BRISK,ORB,MAT_BF,SEL_KNN,9.51552,11.2864
BRISK,ORB,MAT_BF,SEL_KNN,9.61241,9.94177
BRISK,ORB,MAT_BF,SEL_KNN,8.3988,11.4769
