Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,ORB,MAT_BF,SEL_NN,12.5156,36.2993
BRISK,ORB,MAT_BF,SEL_NN,12.6142,33.568
BRISK,ORB,MAT_BF,SEL_NN,14.091,24.5088
BRISK,ORB,MAT_BF,SEL_NN,16.6894,-139.176
BRISK,ORB,MAT_BF,SEL_NN,15.7465,-33.2692
BRISK,ORB,MAT_BF,SEL_NN,12.7835,65.225
BRISK,ORB,MAT_BF,SEL_NN,11.9844,43.7422
BRISK,ORB,MAT_BF,SEL_NN,13.1241,30.9336
BRISK,ORB,MAT_BF,SEL_NN,13.0241,21.9357
BRISK,ORB,MAT_BF,SEL_NN,11.1746,21.5798
BRISK,ORB,MAT_BF,SEL_NN,12.8086,61.6608
BRISK,ORB,MAT_BF,SEL_NN,8.95978,18.8165
BRISK,ORB,MAT_BF,SEL_NN,9.96439,17.3731
BRISK,ORB,MAT_BF,SEL_NN,9.59863,15.0158
BRISK,ORB,MAT_BF,SEL_NN,8.52157,23.6242
BRISK,ORB,MAT_BF,SEL_NN,9.51552,15.1257
BRISK,ORB,MAT_BF,SEL_NN,9.61241,14.5024
BRISK,ORB,MAT_BF,SEL_NN,8.3988,18.7997
