Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,ORB,MAT_FLANN,SEL_KNN,12.5156,14.6435
BRISK,ORB,MAT_FLANN,SEL_KNN,12.6142,20.5788
BRISK,ORB,MAT_FLANN,SEL_KNN,14.091,13.4607
BRISK,ORB,MAT_FLANN,SEL_KNN,16.6894,16.6159
BRISK,ORB,MAT_FLANN,SEL_KNN,15.7465,20.3428
BRISK,ORB,MAT_FLANN,SEL_KNN,12.7835,21.3891
BRISK,ORB,MAT_FLANN,SEL_KNN,11.9844,16.8209
BRISK,ORB,MAT_FLANN,SEL_KNN,13.1241,15.8923
BRISK,ORB,MAT_FLANN,SEL_KNN,13.0241,14.9216
BRISK,ORB,MAT_FLANN,SEL_KNN,11.1746,11.5275
BRISK,ORB,MAT_FLANN,SEL_KNN,12.8086,13.7091
BRISK,ORB,MAT_FLANN,SEL_KNN,8.95978,10.9448
BRISK,ORB,MAT_FLANN,SEL_KNN,9.96439,11.2201
BRISK,ORB,MAT_FLANN,SEL_KNN,9.59863,12.6341
BRISK,ORB,MAT_FLANN,SEL_KNN,8.52157,11.4323
BRISK,ORB,MAT_FLANN,SEL_KNN,9.51552,11.5484
BRISK,ORB,MAT_FLANN,SEL_KNN,9.61241,10.1334
BRISK,ORB,MAT_FLANN,SEL_KNN,8.3988,11.2444
