Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,ORB,MAT_FLANN,SEL_NN,12.5156,23.5618
BRISK,ORB,MAT_FLANN,SEL_NN,12.6142,1147.42
BRISK,ORB,MAT_FLANN,SEL_NN,14.091,26.9823
BRISK,ORB,MAT_FLANN,SEL_NN,16.6894,-42.9883
BRISK,ORB,MAT_FLANN,SEL_NN,15.7465,-81.5021
BRISK,ORB,MAT_FLANN,SEL_NN,12.7835,146.954
BRISK,ORB,MAT_FLANN,SEL_NN,11.9844,57.4906
BRISK,ORB,MAT_FLANN,SEL_NN,13.1241,53.3544
BRISK,ORB,MAT_FLANN,SEL_NN,13.0241,21.5376
BRISK,ORB,MAT_FLANN,SEL_NN,11.1746,23.2175
BRISK,ORB,MAT_FLANN,SEL_NN,12.8086,35.6189
BRISK,ORB,MAT_FLANN,SEL_NN,8.95978,17.5797
BRISK,ORB,MAT_FLANN,SEL_NN,9.96439,23.282
BRISK,ORB,MAT_FLANN,SEL_NN,9.59863,16.6694
BRISK,ORB,MAT_FLANN,SEL_NN,8.52157,28.7308
BRISK,ORB,MAT_FLANN,SEL_NN,9.51552,19.1933
BRISK,ORB,MAT_FLANN,SEL_NN,9.61241,13.2232
BRISK,ORB,MAT_FLANN,SEL_NN,8.3988,22.1416
