Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,SIFT,MAT_BF,SEL_NN,12.5156,21.1726
BRISK,SIFT,MAT_BF,SEL_NN,12.6142,17.5374
BRISK,SIFT,MAT_BF,SEL_NN,14.091,25.8055
BRISK,SIFT,MAT_BF,SEL_NN,16.6894,26.7053
BRISK,SIFT,MAT_BF,SEL_NN,15.7465,44.1128
BRISK,SIFT,MAT_BF,SEL_NN,12.7835,16.2984
BRISK,SIFT,MAT_BF,SEL_NN,11.9844,19.6355
BRISK,SIFT,MAT_BF,SEL_NN,13.1241,23.6277
BRISK,SIFT,MAT_BF,SEL_NN,13.0241,16.9792
BRISK,SIFT,MAT_BF,SEL_NN,11.1746,16.3712
BRISK,SIFT,MAT_BF,SEL_NN,12.8086,14.789
BRISK,SIFT,MAT_BF,SEL_NN,8.95978,15.7144
BRISK,SIFT,MAT_BF,SEL_NN,9.96439,16.2683
BRISK,SIFT,MAT_BF,SEL_NN,9.59863,12.5169
BRISK,SIFT,MAT_BF,SEL_NN,8.52157,15.6674
BRISK,SIFT,MAT_BF,SEL_NN,9.51552,11.8048
BRISK,SIFT,MAT_BF,SEL_NN,9.61241,12.7216
BRISK,SIFT,MAT_BF,SEL_NN,8.3988,16.9026
