Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
BRISK,SIFT,MAT_FLANN,SEL_NN,12.5156,29.2159
BRISK,SIFT,MAT_FLANN,SEL_NN,12.6142,23.8015
BRISK,SIFT,MAT_FLANN,SEL_NN,14.091,30.4256
BRISK,SIFT,MAT_FLANN,SEL_NN,16.6894,44.6885
BRISK,SIFT,MAT_FLANN,SEL_NN,15.7465,-78.4701
BRISK,SIFT,MAT_FLANN,SEL_NN,12.7835,36.2501
BRISK,SIFT,MAT_FLANN,SEL_NN,11.9844,24.359
BRISK,SIFT,MAT_FLANN,SEL_NN,13.1241,-486.791
BRISK,SIFT,MAT_FLANN,SEL_NN,13.0241,15.206
BRISK,SIFT,MAT_FLANN,SEL_NN,11.1746,22.2695
BRISK,SIFT,MAT_FLANN,SEL_NN,12.8086,15.7346
BRISK,SIFT,MAT_FLANN,SEL_NN,8.95978,13.6235
BRISK,SIFT,MAT_FLANN,SEL_NN,9.96439,14.5979
BRISK,SIFT,MAT_FLANN,SEL_NN,9.59863,14.7713
BRISK,SIFT,MAT_FLANN,SEL_NN,8.52157,15.9427
BRISK,SIFT,MAT_FLANN,SEL_NN,9.51552,12.5246
BRISK,SIFT,MAT_FLANN,SEL_NN,9.61241,14.5907
BRISK,SIFT,MAT_FLANN,SEL_NN,8.3988,15.2556
