Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,BRIEF,MAT_BF,SEL_NN,12.5156,13.3458
FAST,BRIEF,MAT_BF,SEL_NN,12.6142,19.4402
FAST,BRIEF,MAT_BF,SEL_NN,14.091,16.8113
FAST,BRIEF,MAT_BF,SEL_NN,16.6894,14.7678
FAST,BRIEF,MAT_BF,SEL_NN,15.7465,15.381
FAST,BRIEF,MAT_BF,SEL_NN,12.7835,14.5234
FAST,BRIEF,MAT_BF,SEL_NN,11.9844,14.8486
FAST,BRIEF,MAT_BF,SEL_NN,13.1241,13.659
FAST,BRIEF,MAT_BF,SEL_NN,13.0241,13.9848
FAST,BRIEF,MAT_BF,SEL_NN,11.1746,14.5442
FAST,BRIEF,MAT_BF,SEL_NN,12.8086,11.8881
FAST,BRIEF,MAT_BF,SEL_NN,8.95978,12.0736
FAST,BRIEF,MAT_BF,SEL_NN,9.96439,12.7949
FAST,BRIEF,MAT_BF,SEL_NN,9.59863,10.976
FAST,BRIEF,MAT_BF,SEL_NN,8.52157,12.2343
FAST,BRIEF,MAT_BF,SEL_NN,9.51552,12.3194
FAST,BRIEF,MAT_BF,SEL_NN,9.61241,10.7526
FAST,BRIEF,MAT_BF,SEL_NN,8.3988,12.1296
