Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,BRIEF,MAT_FLANN,SEL_KNN,-0.680202,-0.671332
FAST,BRIEF,MAT_FLANN,SEL_KNN,12.5156,11.7503
FAST,BRIEF,MAT_FLANN,SEL_KNN,12.6142,11.7077
FAST,BRIEF,MAT_FLANN,SEL_KNN,14.091,13.955
FAST,BRIEF,MAT_FLANN,SEL_KNN,16.6894,13.2296
FAST,BRIEF,MAT_FLANN,SEL_KNN,15.7465,14.8298
FAST,BRIEF,MAT_FLANN,SEL_KNN,12.7835,13.5942
FAST,BRIEF,MAT_FLANN,SEL_KNN,11.9844,13.1789
FAST,BRIEF,MAT_FLANN,SEL_KNN,13.1241,12.6953
FAST,BRIEF,MAT_FLANN,SEL_KNN,13.0241,12.8008
FAST,BRIEF,MAT_FLANN,SEL_KNN,11.1746,13.0166
FAST,BRIEF,MAT_FLANN,SEL_KNN,12.8086,11.8507
FAST,BRIEF,MAT_FLANN,SEL_KNN,8.95978,11.5256
FAST,BRIEF,MAT_FLANN,SEL_KNN,9.96439,11.7066
FAST,BRIEF,MAT_FLANN,SEL_KNN,9.59863,10.6452
FAST,BRIEF,MAT_FLANN,SEL_KNN,8.52157,11.5312
FAST,BRIEF,MAT_FLANN,SEL_KNN,9.51552,10.323
FAST,BRIEF,MAT_FLANN,SEL_KNN,9.61241,9.89452
FAST,BRIEF,MAT_FLANN,SEL_KNN,8.3988,11.5081
