Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,BRIEF,MAT_FLANN,SEL_NN,-0.680202,-0.283081
FAST,BRIEF,MAT_FLANN,SEL_NN,12.5156,13.4806
FAST,BRIEF,MAT_FLANN,SEL_NN,12.6142,18.7164
FAST,BRIEF,MAT_FLANN,SEL_NN,14.091,19.3281
FAST,BRIEF,MAT_FLANN,SEL_NN,16.6894,14.404
FAST,BRIEF,MAT_FLANN,SEL_NN,15.7465,15.8156
FAST,BRIEF,MAT_FLANN,SEL_NN,12.7835,14.4041
FAST,BRIEF,MAT_FLANN,SEL_NN,11.9844,14.558
FAST,BRIEF,MAT_FLANN,SEL_NN,13.1241,13.8055
FAST,BRIEF,MAT_FLANN,SEL_NN,13.0241,13.9931
FAST,BRIEF,MAT_FLANN,SEL_NN,11.1746,14.6403
FAST,BRIEF,MAT_FLANN,SEL_NN,12.8086,12.0962
FAST,BRIEF,MAT_FLANN,SEL_NN,8.95978,11.9536
FAST,BRIEF,MAT_FLANN,SEL_NN,9.96439,12.9008
FAST,BRIEF,MAT_FLANN,SEL_NN,9.59863,10.7957
FAST,BRIEF,MAT_FLANN,SEL_NN,8.52157,12.0753
FAST,BRIEF,MAT_FLANN,SEL_NN,9.51552,12.3345
FAST,BRIEF,MAT_FLANN,SEL_NN,9.61241,10.5197
FAST,BRIEF,MAT_FLANN,SEL_NN,8.3988,11.9967
