Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,BRISK,MAT_BF,SEL_NN,12.5156,-10.962
FAST,BRISK,MAT_BF,SEL_NN,12.6142,-625.31
FAST,BRISK,MAT_BF,SEL_NN,14.091,-0.686391
FAST,BRISK,MAT_BF,SEL_NN,16.6894,-14.3717
FAST,BRISK,MAT_BF,SEL_NN,15.7465,-36.4424
FAST,BRISK,MAT_BF,SEL_NN,12.7835,-0.536231
FAST,BRISK,MAT_BF,SEL_NN,11.9844,-9.80103
FAST,BRISK,MAT_BF,SEL_NN,13.1241,-1.05721
FAST,BRISK,MAT_BF,SEL_NN,13.0241,-1.20359
FAST,BRISK,MAT_BF,SEL_NN,11.1746,-39.7114
FAST,BRISK,MAT_BF,SEL_NN,12.8086,-113.652
FAST,BRISK,MAT_BF,SEL_NN,8.95978,-11.7726
FAST,BRISK,MAT_BF,SEL_NN,9.96439,-225.31
FAST,BRISK,MAT_BF,SEL_NN,9.59863,-1.07179
FAST,BRISK,MAT_BF,SEL_NN,8.52157,-2.44566
FAST,BRISK,MAT_BF,SEL_NN,9.51552,-133.282
FAST,BRISK,MAT_BF,SEL_NN,9.61241,25.4466
FAST,BRISK,MAT_BF,SEL_NN,8.3988,-114.59
