Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,BRISK,MAT_FLANN,SEL_NN,12.5156,-1.49557
FAST,BRISK,MAT_FLANN,SEL_NN,12.6142,-12.1029
FAST,BRISK,MAT_FLANN,SEL_NN,14.091,-0.850479
FAST,BRISK,MAT_FLANN,SEL_NN,16.6894,-22.2341
FAST,BRISK,MAT_FLANN,SEL_NN,15.7465,-11.8152
FAST,BRISK,MAT_FLANN,SEL_NN,12.7835,-0.531104
FAST,BRISK,MAT_FLANN,SEL_NN,11.9844,-2.07715
FAST,BRISK,MAT_FLANN,SEL_NN,13.1241,-1.25928
FAST,BRISK,MAT_FLANN,SEL_NN,13.0241,-0.92909
FAST,BRISK,MAT_FLANN,SEL_NN,11.1746,-10.6158
FAST,BRISK,MAT_FLANN,SEL_NN,12.8086,-5.8122
FAST,BRISK,MAT_FLANN,SEL_NN,8.95978,-38.7024
FAST,BRISK,MAT_FLANN,SEL_NN,9.96439,-77.8812
FAST,BRISK,MAT_FLANN,SEL_NN,9.59863,-1.15547
FAST,BRISK,MAT_FLANN,SEL_NN,8.52157,-6.52974
FAST,BRISK,MAT_FLANN,SEL_NN,9.51552,-1.78924
FAST,BRISK,MAT_FLANN,SEL_NN,9.61241,-inf
FAST,BRISK,MAT_FLANN,SEL_NN,8.3988,-inf
