Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,FREAK,MAT_BF,SEL_NN,12.5156,-11.4986
FAST,FREAK,MAT_BF,SEL_NN,12.6142,-10.0666
FAST,FREAK,MAT_BF,SEL_NN,14.091,-212.677
FAST,FREAK,MAT_BF,SEL_NN,16.6894,-11.5727
FAST,FREAK,MAT_BF,SEL_NN,15.7465,67.9662
FAST,FREAK,MAT_BF,SEL_NN,12.7835,-9.03085
FAST,FREAK,MAT_BF,SEL_NN,11.9844,-5.41384
FAST,FREAK,MAT_BF,SEL_NN,13.1241,-12.4271
FAST,FREAK,MAT_BF,SEL_NN,13.0241,-inf
FAST,FREAK,MAT_BF,SEL_NN,11.1746,-inf
FAST,FREAK,MAT_BF,SEL_NN,12.8086,-19.0633
FAST,FREAK,MAT_BF,SEL_NN,8.95978,-inf
FAST,FREAK,MAT_BF,SEL_NN,9.96439,212.797
FAST,FREAK,MAT_BF,SEL_NN,9.59863,17.1137
FAST,FREAK,MAT_BF,SEL_NN,8.52157,14.3528
FAST,FREAK,MAT_BF,SEL_NN,9.51552,37.762
FAST,FREAK,MAT_BF,SEL_NN,9.61241,17.4649
FAST,FREAK,MAT_BF,SEL_NN,8.3988,-342.967
