Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,FREAK,MAT_FLANN,SEL_NN,12.5156,-9.21305
FAST,FREAK,MAT_FLANN,SEL_NN,12.6142,-5.02031
FAST,FREAK,MAT_FLANN,SEL_NN,14.091,-26.6962
FAST,FREAK,MAT_FLANN,SEL_NN,16.6894,-12.5235
FAST,FREAK,MAT_FLANN,SEL_NN,15.7465,-inf
FAST,FREAK,MAT_FLANN,SEL_NN,12.7835,-1.45241
FAST,FREAK,MAT_FLANN,SEL_NN,11.9844,-6.2884
FAST,FREAK,MAT_FLANN,SEL_NN,13.1241,-16.5684
FAST,FREAK,MAT_FLANN,SEL_NN,13.0241,-inf
FAST,FREAK,MAT_FLANN,SEL_NN,11.1746,-inf
FAST,FREAK,MAT_FLANN,SEL_NN,12.8086,-10.2233
FAST,FREAK,MAT_FLANN,SEL_NN,8.95978,-73.4577
FAST,FREAK,MAT_FLANN,SEL_NN,9.96439,67.153
FAST,FREAK,MAT_FLANN,SEL_NN,9.59863,16.3854
FAST,FREAK,MAT_FLANN,SEL_NN,8.52157,14.5313
FAST,FREAK,MAT_FLANN,SEL_NN,9.51552,148.379
FAST,FREAK,MAT_FLANN,SEL_NN,9.61241,22.149
FAST,FREAK,MAT_FLANN,SEL_NN,8.3988,-87.5197
