Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,ORB,MAT_BF,SEL_KNN,-0.680202,-0.671842
FAST,ORB,MAT_BF,SEL_KNN,12.5156,11.3344
FAST,ORB,MAT_BF,SEL_KNN,12.6142,12.3289
FAST,ORB,MAT_BF,SEL_KNN,14.091,12.318
FAST,ORB,MAT_BF,SEL_KNN,16.6894,12.6028
FAST,ORB,MAT_BF,SEL_KNN,15.7465,13.2618
FAST,ORB,MAT_BF,SEL_KNN,12.7835,12.4106
FAST,ORB,MAT_BF,SEL_KNN,11.9844,13.6643
FAST,ORB,MAT_BF,SEL_KNN,13.1241,12.7764
FAST,ORB,MAT_BF,SEL_KNN,13.0241,12.4634
FAST,ORB,MAT_BF,SEL_KNN,11.1746,12.8653
FAST,ORB,MAT_BF,SEL_KNN,12.8086,11.947
FAST,ORB,MAT_BF,SEL_KNN,8.95978,11.2036
FAST,ORB,MAT_BF,SEL_KNN,9.96439,11.7216
FAST,ORB,MAT_BF,SEL_KNN,9.59863,10.7766
FAST,ORB,MAT_BF,SEL_KNN,8.52157,10.4391
FAST,ORB,MAT_BF,SEL_KNN,9.51552,10.1523
FAST,ORB,MAT_BF,SEL_KNN,9.61241,9.25534
FAST,ORB,MAT_BF,SEL_KNN,8.3988,11.3881
