Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,ORB,MAT_BF,SEL_NN,12.5156,13.9231
FAST,ORB,MAT_BF,SEL_NN,12.6142,13.3423
FAST,ORB,MAT_BF,SEL_NN,14.091,16.4158
FAST,ORB,MAT_BF,SEL_NN,16.6894,19.3254
FAST,ORB,MAT_BF,SEL_NN,15.7465,18.6043
FAST,ORB,MAT_BF,SEL_NN,12.7835,14.6768
FAST,ORB,MAT_BF,SEL_NN,11.9844,16.7115
FAST,ORB,MAT_BF,SEL_NN,13.1241,19.0379
FAST,ORB,MAT_BF,SEL_NN,13.0241,14.4498
FAST,ORB,MAT_BF,SEL_NN,11.1746,13.0837
FAST,ORB,MAT_BF,SEL_NN,12.8086,12.7001
FAST,ORB,MAT_BF,SEL_NN,8.95978,11.803
FAST,ORB,MAT_BF,SEL_NN,9.96439,13.7436
FAST,ORB,MAT_BF,SEL_NN,9.59863,11.5135
FAST,ORB,MAT_BF,SEL_NN,8.52157,12.6565
FAST,ORB,MAT_BF,SEL_NN,9.51552,11.2297
FAST,ORB,MAT_BF,SEL_NN,9.61241,11.4955
FAST,ORB,MAT_BF,SEL_NN,8.3988,12.4321
