Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,SIFT,MAT_BF,SEL_KNN,-0.680202,-0.664087
FAST,SIFT,MAT_BF,SEL_KNN,12.5156,12.2747
FAST,SIFT,MAT_BF,SEL_KNN,12.6142,11.3986
FAST,SIFT,MAT_BF,SEL_KNN,14.091,14.0617
FAST,SIFT,MAT_BF,SEL_KNN,16.6894,13.1232
FAST,SIFT,MAT_BF,SEL_KNN,15.7465,14.3519
FAST,SIFT,MAT_BF,SEL_KNN,12.7835,12.828
FAST,SIFT,MAT_BF,SEL_KNN,11.9844,12.409
FAST,SIFT,MAT_BF,SEL_KNN,13.1241,12.6899
FAST,SIFT,MAT_BF,SEL_KNN,13.0241,12.5506
FAST,SIFT,MAT_BF,SEL_KNN,11.1746,12.6708
FAST,SIFT,MAT_BF,SEL_KNN,12.8086,11.8062
FAST,SIFT,MAT_BF,SEL_KNN,8.95978,11.1726
FAST,SIFT,MAT_BF,SEL_KNN,9.96439,11.5632
FAST,SIFT,MAT_BF,SEL_KNN,9.59863,11.3432
FAST,SIFT,MAT_BF,SEL_KNN,8.52157,10.8743
FAST,SIFT,MAT_BF,SEL_KNN,9.51552,10.1671
FAST,SIFT,MAT_BF,SEL_KNN,9.61241,9.44764
FAST,SIFT,MAT_BF,SEL_KNN,8.3988,10.6624
