Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,SIFT,MAT_BF,SEL_NN,12.5156,12.363
FAST,SIFT,MAT_BF,SEL_NN,12.6142,12.1821
FAST,SIFT,MAT_BF,SEL_NN,14.091,15.8869
FAST,SIFT,MAT_BF,SEL_NN,16.6894,14.3528
FAST,SIFT,MAT_BF,SEL_NN,15.7465,16.7488
FAST,SIFT,MAT_BF,SEL_NN,12.7835,13.2684
FAST,SIFT,MAT_BF,SEL_NN,11.9844,13.7176
FAST,SIFT,MAT_BF,SEL_NN,13.1241,14.1072
FAST,SIFT,MAT_BF,SEL_NN,13.0241,12.3686
FAST,SIFT,MAT_BF,SEL_NN,11.1746,12.6422
FAST,SIFT,MAT_BF,SEL_NN,12.8086,11.8844
FAST,SIFT,MAT_BF,SEL_NN,8.95978,11.6466
FAST,SIFT,MAT_BF,SEL_NN,9.96439,11.7236
FAST,SIFT,MAT_BF,SEL_NN,9.59863,11.1055
FAST,SIFT,MAT_BF,SEL_NN,8.52157,10.6317
FAST,SIFT,MAT_BF,SEL_NN,9.51552,10.2295
FAST,SIFT,MAT_BF,SEL_NN,9.61241,10.4711
FAST,SIFT,MAT_BF,SEL_NN,8.3988,10.8713
