Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
FAST,SIFT,MAT_FLANN,SEL_KNN,-0.680202,-0.696643
FAST,SIFT,MAT_FLANN,SEL_KNN,12.5156,12.6137
FAST,SIFT,MAT_FLANN,SEL_KNN,12.6142,11.3782
FAST,SIFT,MAT_FLANN,SEL_KNN,14.091,13.9293
FAST,SIFT,MAT_FLANN,SEL_KNN,16.6894,13.0998
FAST,SIFT,MAT_FLANN,SEL_KNN,15.7465,14.1896
FAST,SIFT,MAT_FLANN,SEL_KNN,12.7835,12.8011
FAST,SIFT,MAT_FLANN,SEL_KNN,11.9844,12.2279
FAST,SIFT,MAT_FLANN,SEL_KNN,13.1241,12.8288
FAST,SIFT,MAT_FLANN,SEL_KNN,13.0241,12.479
FAST,SIFT,MAT_FLANN,SEL_KNN,11.1746,12.6684
FAST,SIFT,MAT_FLANN,SEL_KNN,12.8086,11.9056
FAST,SIFT,MAT_FLANN,SEL_KNN,8.95978,11.2318
FAST,SIFT,MAT_FLANN,SEL_KNN,9.96439,11.6383
FAST,SIFT,MAT_FLANN,SEL_KNN,9.59863,11.232
FAST,SIFT,MAT_FLANN,SEL_KNN,8.52157,10.8743
FAST,SIFT,MAT_FLANN,SEL_KNN,9.51552,10.1573
FAST,SIFT,MAT_FLANN,SEL_KNN,9.61241,9.57741
FAST,SIFT,MAT_FLANN,SEL_KNN,8.3988,10.6504
