Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
ORB,BRIEF,MAT_BF,SEL_NN,12.5156,18.9573
ORB,BRIEF,MAT_BF,SEL_NN,12.6142,22.036
ORB,BRIEF,MAT_BF,SEL_NN,14.091,82.7744
ORB,BRIEF,MAT_BF,SEL_NN,16.6894,25.369
ORB,BRIEF,MAT_BF,SEL_NN,15.7465,-inf
ORB,BRIEF,MAT_BF,SEL_NN,12.7835,21.1448
ORB,BRIEF,MAT_BF,SEL_NN,11.9844,-inf
ORB,BRIEF,MAT_BF,SEL_NN,13.1241,55.2338
ORB,BRIEF,MAT_BF,SEL_NN,13.0241,13.2757
ORB,BRIEF,MAT_BF,SEL_NN,11.1746,10.8056
ORB,BRIEF,MAT_BF,SEL_NN,12.8086,12.5439
ORB,BRIEF,MAT_BF,SEL_NN,8.95978,19.3317
ORB,BRIEF,MAT_BF,SEL_NN,9.96439,10.4454
ORB,BRIEF,MAT_BF,SEL_NN,9.59863,9.52983
ORB,BRIEF,MAT_BF,SEL_NN,8.52157,10.0577
ORB,BRIEF,MAT_BF,SEL_NN,9.51552,13.5694
ORB,BRIEF,MAT_BF,SEL_NN,9.61241,18.7859
ORB,BRIEF,MAT_BF,SEL_NN,8.3988,13.2439
