Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
ORB,BRISK,MAT_BF,SEL_KNN,12.5156,14.9301
ORB,BRISK,MAT_BF,SEL_KNN,12.6142,12.9679
ORB,BRISK,MAT_BF,SEL_KNN,15.7465,94.009
ORB,BRISK,MAT_BF,SEL_KNN,12.7835,11.5438
ORB,BRISK,MAT_BF,SEL_KNN,11.9844,15.9607
ORB,BRISK,MAT_BF,SEL_KNN,13.0241,13.1285
ORB,BRISK,MAT_BF,SEL_KNN,11.1746,19.472
ORB,BRISK,MAT_BF,SEL_KNN,12.8086,8.34928
ORB,BRISK,MAT_BF,SEL_KNN,8.95978,-inf
ORB,BRISK,MAT_BF,SEL_KNN,9.96439,7.87645
ORB,BRISK,MAT_BF,SEL_KNN,9.59863,9.58532
ORB,BRISK,MAT_BF,SEL_KNN,8.52157,8.72363
ORB,BRISK,MAT_BF,SEL_KNN,9.61241,12.4886
ORB,BRISK,MAT_BF,SEL_KNN,8.3988,27.095
