Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
ORB,BRISK,MAT_BF,SEL_NN,12.5156,17.4836
ORB,BRISK,MAT_BF,SEL_NN,12.6142,15.1978
ORB,BRISK,MAT_BF,SEL_NN,14.091,26.7836
ORB,BRISK,MAT_BF,SEL_NN,15.7465,-inf
ORB,BRISK,MAT_BF,SEL_NN,12.7835,21.2924
ORB,BRISK,MAT_BF,SEL_NN,11.9844,19.8118
ORB,BRISK,MAT_BF,SEL_NN,13.1241,11.2337
ORB,BRISK,MAT_BF,SEL_NN,13.0241,12.339
ORB,BRISK,MAT_BF,SEL_NN,11.1746,13.3424
ORB,BRISK,MAT_BF,SEL_NN,12.8086,9.09836
ORB,BRISK,MAT_BF,SEL_NN,8.95978,5416.2
ORB,BRISK,MAT_BF,SEL_NN,9.96439,9.47693
ORB,BRISK,MAT_BF,SEL_NN,9.59863,7.83786
ORB,BRISK,MAT_BF,SEL_NN,8.52157,9.41086
ORB,BRISK,MAT_BF,SEL_NN,9.61241,21.2646
ORB,BRISK,MAT_BF,SEL_NN,8.3988,18.295
