Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
ORB,BRISK,MAT_FLANN,SEL_NN,12.5156,29.0145
ORB,BRISK,MAT_FLANN,SEL_NN,12.6142,25.1898
ORB,BRISK,MAT_FLANN,SEL_NN,14.091,26.3748
ORB,BRISK,MAT_FLANN,SEL_NN,15.7465,-inf
ORB,BRISK,MAT_FLANN,SEL_NN,12.7835,12.9729
ORB,BRISK,MAT_FLANN,SEL_NN,11.9844,-inf
ORB,BRISK,MAT_FLANN,SEL_NN,13.1241,19.3489
ORB,BRISK,MAT_FLANN,SEL_NN,13.0241,12.0719
ORB,BRISK,MAT_FLANN,SEL_NN,11.1746,33.7794
ORB,BRISK,MAT_FLANN,SEL_NN,12.8086,10.7723
ORB,BRISK,MAT_FLANN,SEL_NN,8.95978,-inf
ORB,BRISK,MAT_FLANN,SEL_NN,9.96439,9.86988
ORB,BRISK,MAT_FLANN,SEL_NN,9.59863,11.4024
ORB,BRISK,MAT_FLANN,SEL_NN,8.52157,8.50938
ORB,BRISK,MAT_FLANN,SEL_NN,9.61241,21.3083
ORB,BRISK,MAT_FLANN,SEL_NN,8.3988,18.6402
