Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
ORB,ORB,MAT_BF,SEL_NN,12.5156,1411.27
ORB,ORB,MAT_BF,SEL_NN,12.6142,21.1404
ORB,ORB,MAT_BF,SEL_NN,14.091,-inf
ORB,ORB,MAT_BF,SEL_NN,16.6894,59.5561
ORB,ORB,MAT_BF,SEL_NN,15.7465,485.46
ORB,ORB,MAT_BF,SEL_NN,12.7835,19.0798
ORB,ORB,MAT_BF,SEL_NN,11.9844,19.2742
ORB,ORB,MAT_BF,SEL_NN,13.1241,10.8663
ORB,ORB,MAT_BF,SEL_NN,13.0241,2.81675e+06
ORB,ORB,MAT_BF,SEL_NN,11.1746,24.1901
ORB,ORB,MAT_BF,SEL_NN,12.8086,10.6169
ORB,ORB,MAT_BF,SEL_NN,8.95978,-inf
ORB,ORB,MAT_BF,SEL_NN,9.96439,11.4121
ORB,ORB,MAT_BF,SEL_NN,9.59863,13.6616
ORB,ORB,MAT_BF,SEL_NN,8.52157,33.3507
ORB,ORB,MAT_BF,SEL_NN,9.51552,9.93271
ORB,ORB,MAT_BF,SEL_NN,9.61241,36.5721
ORB,ORB,MAT_BF,SEL_NN,8.3988,29.838
