Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
ORB,ORB,MAT_FLANN,SEL_KNN,12.5156,120.339
ORB,ORB,MAT_FLANN,SEL_KNN,15.7465,29.0177
ORB,ORB,MAT_FLANN,SEL_KNN,12.7835,-inf
ORB,ORB,MAT_FLANN,SEL_KNN,11.9844,-inf
ORB,ORB,MAT_FLANN,SEL_KNN,13.1241,9.44631
ORB,ORB,MAT_FLANN,SEL_KNN,13.0241,18.651
ORB,ORB,MAT_FLANN,SEL_KNN,11.1746,23.3467
ORB,ORB,MAT_FLANN,SEL_KNN,12.8086,9.15809
ORB,ORB,MAT_FLANN,SEL_KNN,8.95978,30.4577
ORB,ORB,MAT_FLANN,SEL_KNN,9.96439,9.77565
ORB,ORB,MAT_FLANN,SEL_KNN,9.59863,9.64414
ORB,ORB,MAT_FLANN,SEL_KNN,8.52157,12.6741
ORB,ORB,MAT_FLANN,SEL_KNN,9.61241,12.8853
