Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
ORB,ORB,MAT_FLANN,SEL_NN,12.5156,-inf
ORB,ORB,MAT_FLANN,SEL_NN,12.6142,17.1604
ORB,ORB,MAT_FLANN,SEL_NN,14.091,306.292
ORB,ORB,MAT_FLANN,SEL_NN,16.6894,19.7322
ORB,ORB,MAT_FLANN,SEL_NN,15.7465,-inf
ORB,ORB,MAT_FLANN,SEL_NN,12.7835,20.6776
ORB,ORB,MAT_FLANN,SEL_NN,11.9844,107.431
ORB,ORB,MAT_FLANN,SEL_NN,13.1241,10.9911
ORB,ORB,MAT_FLANN,SEL_NN,13.0241,179.41
ORB,ORB,MAT_FLANN,SEL_NN,11.1746,34.7894
ORB,ORB,MAT_FLANN,SEL_NN,12.8086,10.8864
ORB,ORB,MAT_FLANN,SEL_NN,8.95978,-inf
ORB,ORB,MAT_FLANN,SEL_NN,9.96439,13.301
ORB,ORB,MAT_FLANN,SEL_NN,9.59863,13.6002
ORB,ORB,MAT_FLANN,SEL_NN,8.52157,171.916
ORB,ORB,MAT_FLANN,SEL_NN,9.51552,8.69457
ORB,ORB,MAT_FLANN,SEL_NN,9.61241,26.6808
ORB,ORB,MAT_FLANN,SEL_NN,8.3988,21.5083
