Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
ORB,SIFT,MAT_BF,SEL_NN,12.5156,14.8587
ORB,SIFT,MAT_BF,SEL_NN,12.6142,11.1036
ORB,SIFT,MAT_BF,SEL_NN,14.091,25.8792
ORB,SIFT,MAT_BF,SEL_NN,16.6894,86.0676
ORB,SIFT,MAT_BF,SEL_NN,15.7465,24.4933
ORB,SIFT,MAT_BF,SEL_NN,12.7835,-5.28388
ORB,SIFT,MAT_BF,SEL_NN,11.9844,40.4661
ORB,SIFT,MAT_BF,SEL_NN,13.1241,10.0584
ORB,SIFT,MAT_BF,SEL_NN,13.0241,12.8918
ORB,SIFT,MAT_BF,SEL_NN,11.1746,13.3055
ORB,SIFT,MAT_BF,SEL_NN,12.8086,10.1214
ORB,SIFT,MAT_BF,SEL_NN,8.95978,-inf
ORB,SIFT,MAT_BF,SEL_NN,9.96439,7.9582
ORB,SIFT,MAT_BF,SEL_NN,9.59863,63.442
ORB,SIFT,MAT_BF,SEL_NN,8.52157,-inf
ORB,SIFT,MAT_BF,SEL_NN,9.61241,21.7246
ORB,SIFT,MAT_BF,SEL_NN,8.3988,11.3349
