Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
ORB,SIFT,MAT_FLANN,SEL_KNN,12.5156,12.903
ORB,SIFT,MAT_FLANN,SEL_KNN,12.6142,10.0219
ORB,SIFT,MAT_FLANN,SEL_KNN,15.7465,167.629
ORB,SIFT,MAT_FLANN,SEL_KNN,12.7835,26.8043
ORB,SIFT,MAT_FLANN,SEL_KNN,11.9844,-inf
ORB,SIFT,MAT_FLANN,SEL_KNN,13.1241,10.4477
ORB,SIFT,MAT_FLANN,SEL_KNN,13.0241,13.9168
ORB,SIFT,MAT_FLANN,SEL_KNN,11.1746,12.7391
ORB,SIFT,MAT_FLANN,SEL_KNN,12.8086,10.1214
ORB,SIFT,MAT_FLANN,SEL_KNN,8.95978,-inf
ORB,SIFT,MAT_FLANN,SEL_KNN,9.96439,7.87863
ORB,SIFT,MAT_FLANN,SEL_KNN,9.59863,18.4901
ORB,SIFT,MAT_FLANN,SEL_KNN,8.52157,16.5521
ORB,SIFT,MAT_FLANN,SEL_KNN,8.3988,11.2833
