Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,12.5156,14.0747
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,12.6142,13.8102
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,14.091,11.7319
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,16.6894,13.6007
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,15.7465,12.3
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,12.7835,13.2703
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,11.9844,21.3557
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.1241,12.5199
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.0241,11.6077
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,11.1746,13.6717
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,12.8086,11.7805
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,8.95978,11.7604
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,9.96439,11.7545
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,9.59863,11.6524
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,8.52157,11.2953
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,9.51552,11.5174
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,9.61241,11.1869
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,8.3988,7.96939
