Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SHITOMASI,BRIEF,MAT_BF,SEL_NN,12.5156,20.7189
SHITOMASI,BRIEF,MAT_BF,SEL_NN,12.6142,48.8047
SHITOMASI,BRIEF,MAT_BF,SEL_NN,14.091,11.1762
SHITOMASI,BRIEF,MAT_BF,SEL_NN,16.6894,22.1669
SHITOMASI,BRIEF,MAT_BF,SEL_NN,15.7465,12.8552
SHITOMASI,BRIEF,MAT_BF,SEL_NN,12.7835,13.2198
SHITOMASI,BRIEF,MAT_BF,SEL_NN,11.9844,34.7957
SHITOMASI,BRIEF,MAT_BF,SEL_NN,13.1241,14.2388
SHITOMASI,BRIEF,MAT_BF,SEL_NN,13.0241,12.6708
SHITOMASI,BRIEF,MAT_BF,SEL_NN,11.1746,16.9761
SHITOMASI,BRIEF,MAT_BF,SEL_NN,12.8086,11.7992
SHITOMASI,BRIEF,MAT_BF,SEL_NN,8.95978,13.677
SHITOMASI,BRIEF,MAT_BF,SEL_NN,9.96439,12.4508
SHITOMASI,BRIEF,MAT_BF,SEL_NN,9.59863,11.946
SHITOMASI,BRIEF,MAT_BF,SEL_NN,8.52157,15.3181
SHITOMASI,BRIEF,MAT_BF,SEL_NN,9.51552,11.5882
SHITOMASI,BRIEF,MAT_BF,SEL_NN,9.61241,11.1687
SHITOMASI,BRIEF,MAT_BF,SEL_NN,8.3988,10.1394
