Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.5156,13.9019
SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.6142,12.9876
SHITOMASI,BRISK,MAT_BF,SEL_KNN,14.091,13.2474
SHITOMASI,BRISK,MAT_BF,SEL_KNN,16.6894,12.8899
SHITOMASI,BRISK,MAT_BF,SEL_KNN,15.7465,13.4476
SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.7835,13.5266
SHITOMASI,BRISK,MAT_BF,SEL_KNN,11.9844,12.7172
SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.1241,13.712
SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.0241,11.5126
SHITOMASI,BRISK,MAT_BF,SEL_KNN,11.1746,13.456
SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.8086,11.9816
SHITOMASI,BRISK,MAT_BF,SEL_KNN,8.95978,11.8135
SHITOMASI,BRISK,MAT_BF,SEL_KNN,9.96439,12.0367
SHITOMASI,BRISK,MAT_BF,SEL_KNN,9.59863,11.342
SHITOMASI,BRISK,MAT_BF,SEL_KNN,8.52157,9.07784
SHITOMASI,BRISK,MAT_BF,SEL_KNN,9.51552,10.4612
SHITOMASI,BRISK,MAT_BF,SEL_KNN,9.61241,11.6823
SHITOMASI,BRISK,MAT_BF,SEL_KNN,8.3988,9.73863
