Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,12.5156,-0.585096
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,12.6142,-13.9588
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,14.091,-420.29
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,16.6894,-0.374413
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,15.7465,-inf
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,12.7835,-inf
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,11.9844,-279.439
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,13.1241,-0.528171
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,13.0241,-inf
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,11.1746,-0.861244
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,12.8086,-2.33841
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,8.95978,43.9534
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,9.96439,-0.624296
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,9.59863,684.5
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,8.52157,12.0506
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,9.51552,-0.233143
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,9.61241,-3.20819
SHITOMASI,BRISK,MAT_FLANN,SEL_NN,8.3988,13.2708
