Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,12.5156,13.6733
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,12.6142,13.5031
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,14.091,11.272
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,16.6894,12.671
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,15.7465,12.6318
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,12.7835,15.1537
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,11.9844,13.067
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,13.1241,12.9348
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,13.0241,12.1911
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,11.1746,13.199
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,12.8086,11.3412
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,8.95978,12.2727
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,9.96439,12.6681
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,9.59863,11.5384
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,8.52157,10.9493
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,9.51552,11.3153
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,9.61241,10.9094
SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,8.3988,7.87897
