Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SHITOMASI,ORB,MAT_BF,SEL_KNN,12.5156,13.5031
SHITOMASI,ORB,MAT_BF,SEL_KNN,12.6142,12.6968
SHITOMASI,ORB,MAT_BF,SEL_KNN,14.091,11.99
SHITOMASI,ORB,MAT_BF,SEL_KNN,16.6894,12.5517
SHITOMASI,ORB,MAT_BF,SEL_KNN,15.7465,12.1886
SHITOMASI,ORB,MAT_BF,SEL_KNN,12.7835,13.7364
SHITOMASI,ORB,MAT_BF,SEL_KNN,11.9844,11.9941
SHITOMASI,ORB,MAT_BF,SEL_KNN,13.1241,12.5093
SHITOMASI,ORB,MAT_BF,SEL_KNN,13.0241,11.3469
SHITOMASI,ORB,MAT_BF,SEL_KNN,11.1746,13.3149
SHITOMASI,ORB,MAT_BF,SEL_KNN,12.8086,11.3246
SHITOMASI,ORB,MAT_BF,SEL_KNN,8.95978,11.5372
SHITOMASI,ORB,MAT_BF,SEL_KNN,9.96439,12.3111
SHITOMASI,ORB,MAT_BF,SEL_KNN,9.59863,11.3471
SHITOMASI,ORB,MAT_BF,SEL_KNN,8.52157,10.4584
SHITOMASI,ORB,MAT_BF,SEL_KNN,9.51552,10.8903
SHITOMASI,ORB,MAT_BF,SEL_KNN,9.61241,10.7263
SHITOMASI,ORB,MAT_BF,SEL_KNN,8.3988,8.08727
