Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SHITOMASI,ORB,MAT_FLANN,SEL_NN,12.5156,15.196
SHITOMASI,ORB,MAT_FLANN,SEL_NN,12.6142,13.9717
SHITOMASI,ORB,MAT_FLANN,SEL_NN,14.091,14.6153
SHITOMASI,ORB,MAT_FLANN,SEL_NN,16.6894,14.2218
SHITOMASI,ORB,MAT_FLANN,SEL_NN,15.7465,12.9056
SHITOMASI,ORB,MAT_FLANN,SEL_NN,12.7835,17.3151
SHITOMASI,ORB,MAT_FLANN,SEL_NN,11.9844,15.8061
SHITOMASI,ORB,MAT_FLANN,SEL_NN,13.1241,12.7542
SHITOMASI,ORB,MAT_FLANN,SEL_NN,13.0241,12.0141
SHITOMASI,ORB,MAT_FLANN,SEL_NN,11.1746,105.56
SHITOMASI,ORB,MAT_FLANN,SEL_NN,12.8086,13.3031
SHITOMASI,ORB,MAT_FLANN,SEL_NN,8.95978,11.5356
SHITOMASI,ORB,MAT_FLANN,SEL_NN,9.96439,12.7042
SHITOMASI,ORB,MAT_FLANN,SEL_NN,9.59863,12.1564
SHITOMASI,ORB,MAT_FLANN,SEL_NN,8.52157,10.9973
SHITOMASI,ORB,MAT_FLANN,SEL_NN,9.51552,11.2036
SHITOMASI,ORB,MAT_FLANN,SEL_NN,9.61241,10.8127
SHITOMASI,ORB,MAT_FLANN,SEL_NN,8.3988,8.65822
