Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SHITOMASI,SIFT,MAT_BF,SEL_KNN,-0.680202,-0.680318
SHITOMASI,SIFT,MAT_BF,SEL_KNN,12.5156,14.2804
SHITOMASI,SIFT,MAT_BF,SEL_KNN,12.6142,12.9004
SHITOMASI,SIFT,MAT_BF,SEL_KNN,14.091,11.6087
SHITOMASI,SIFT,MAT_BF,SEL_KNN,16.6894,12.9209
SHITOMASI,SIFT,MAT_BF,SEL_KNN,15.7465,12.1886
SHITOMASI,SIFT,MAT_BF,SEL_KNN,12.7835,13.0553
SHITOMASI,SIFT,MAT_BF,SEL_KNN,11.9844,12.6612
SHITOMASI,SIFT,MAT_BF,SEL_KNN,13.1241,12.1376
SHITOMASI,SIFT,MAT_BF,SEL_KNN,13.0241,11.9899
SHITOMASI,SIFT,MAT_BF,SEL_KNN,11.1746,13.5009
SHITOMASI,SIFT,MAT_BF,SEL_KNN,12.8086,12.1076
SHITOMASI,SIFT,MAT_BF,SEL_KNN,8.95978,11.8967
SHITOMASI,SIFT,MAT_BF,SEL_KNN,9.96439,11.6227
SHITOMASI,SIFT,MAT_BF,SEL_KNN,9.59863,10.9335
SHITOMASI,SIFT,MAT_BF,SEL_KNN,8.52157,12.5287
SHITOMASI,SIFT,MAT_BF,SEL_KNN,9.51552,10.68
SHITOMASI,SIFT,MAT_BF,SEL_KNN,9.61241,10.7884
SHITOMASI,SIFT,MAT_BF,SEL_KNN,8.3988,9.52513
