Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SHITOMASI,SIFT,MAT_BF,SEL_NN,12.5156,14.685
SHITOMASI,SIFT,MAT_BF,SEL_NN,12.6142,12.4252
SHITOMASI,SIFT,MAT_BF,SEL_NN,14.091,12.8187
SHITOMASI,SIFT,MAT_BF,SEL_NN,16.6894,14.3278
SHITOMASI,SIFT,MAT_BF,SEL_NN,15.7465,12.4891
SHITOMASI,SIFT,MAT_BF,SEL_NN,12.7835,14.7141
SHITOMASI,SIFT,MAT_BF,SEL_NN,11.9844,17.9931
SHITOMASI,SIFT,MAT_BF,SEL_NN,13.1241,16.3897
SHITOMASI,SIFT,MAT_BF,SEL_NN,13.0241,13.451
SHITOMASI,SIFT,MAT_BF,SEL_NN,11.1746,17.891
SHITOMASI,SIFT,MAT_BF,SEL_NN,12.8086,12.7884
SHITOMASI,SIFT,MAT_BF,SEL_NN,8.95978,12.5923
SHITOMASI,SIFT,MAT_BF,SEL_NN,9.96439,12.2745
SHITOMASI,SIFT,MAT_BF,SEL_NN,9.59863,12.1821
SHITOMASI,SIFT,MAT_BF,SEL_NN,8.52157,12.2294
SHITOMASI,SIFT,MAT_BF,SEL_NN,9.51552,8.93726
SHITOMASI,SIFT,MAT_BF,SEL_NN,9.61241,11.8938
SHITOMASI,SIFT,MAT_BF,SEL_NN,8.3988,8.75514
