Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,-0.680202,-0.657654
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,12.5156,14.1113
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,12.6142,12.7566
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,14.091,11.6934
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,16.6894,13.33
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,15.7465,12.4072
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,12.7835,12.4764
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,11.9844,12.6032
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,13.1241,12.1376
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,13.0241,12
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,11.1746,13.456
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,12.8086,12.1076
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,8.95978,12.0542
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,9.96439,11.6575
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,9.59863,11.0575
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,8.52157,12.5287
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,9.51552,11.1439
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,9.61241,10.7884
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,8.3988,9.11966
