Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,12.5156,15.1877
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,12.6142,13.1487
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,14.091,13.1082
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,16.6894,21.9791
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,15.7465,13.8847
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,12.7835,14.667
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,11.9844,30.6507
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,13.1241,14.8007
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,13.0241,13.2095
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,11.1746,39.7576
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,12.8086,13.4872
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,8.95978,13.8326
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,9.96439,13.237
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,9.59863,12.1726
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,8.52157,12.9567
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,9.51552,8.72031
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,9.61241,11.94
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,8.3988,10.7642
