Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SIFT,BRIEF,MAT_BF,SEL_NN,12.5156,14.8202
SIFT,BRIEF,MAT_BF,SEL_NN,12.6142,19.3543
SIFT,BRIEF,MAT_BF,SEL_NN,14.091,19.7102
SIFT,BRIEF,MAT_BF,SEL_NN,16.6894,28.824
SIFT,BRIEF,MAT_BF,SEL_NN,15.7465,17.1653
SIFT,BRIEF,MAT_BF,SEL_NN,12.7835,16.4935
SIFT,BRIEF,MAT_BF,SEL_NN,11.9844,16.9266
SIFT,BRIEF,MAT_BF,SEL_NN,13.1241,23.9333
SIFT,BRIEF,MAT_BF,SEL_NN,13.0241,14.6838
SIFT,BRIEF,MAT_BF,SEL_NN,11.1746,11.034
SIFT,BRIEF,MAT_BF,SEL_NN,12.8086,14.0309
SIFT,BRIEF,MAT_BF,SEL_NN,8.95978,10.6742
SIFT,BRIEF,MAT_BF,SEL_NN,9.96439,9.70351
SIFT,BRIEF,MAT_BF,SEL_NN,9.59863,11.3389
SIFT,BRIEF,MAT_BF,SEL_NN,8.52157,9.43508
SIFT,BRIEF,MAT_BF,SEL_NN,9.51552,9.2283
SIFT,BRIEF,MAT_BF,SEL_NN,9.61241,8.39126
SIFT,BRIEF,MAT_BF,SEL_NN,8.3988,10.0599
