Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SIFT,BRIEF,MAT_FLANN,SEL_NN,-0.680202,-0.192849
SIFT,BRIEF,MAT_FLANN,SEL_NN,12.5156,14.3422
SIFT,BRIEF,MAT_FLANN,SEL_NN,12.6142,18.7663
SIFT,BRIEF,MAT_FLANN,SEL_NN,14.091,18.0394
SIFT,BRIEF,MAT_FLANN,SEL_NN,16.6894,29.5134
SIFT,BRIEF,MAT_FLANN,SEL_NN,15.7465,17.5014
SIFT,BRIEF,MAT_FLANN,SEL_NN,12.7835,13.8828
SIFT,BRIEF,MAT_FLANN,SEL_NN,11.9844,17.8974
SIFT,BRIEF,MAT_FLANN,SEL_NN,13.1241,38.1522
SIFT,BRIEF,MAT_FLANN,SEL_NN,13.0241,14.8754
SIFT,BRIEF,MAT_FLANN,SEL_NN,11.1746,11.9416
SIFT,BRIEF,MAT_FLANN,SEL_NN,12.8086,15.0251
SIFT,BRIEF,MAT_FLANN,SEL_NN,8.95978,10.9311
SIFT,BRIEF,MAT_FLANN,SEL_NN,9.96439,9.56155
SIFT,BRIEF,MAT_FLANN,SEL_NN,9.59863,12.325
SIFT,BRIEF,MAT_FLANN,SEL_NN,8.52157,8.92942
SIFT,BRIEF,MAT_FLANN,SEL_NN,9.51552,9.373
SIFT,BRIEF,MAT_FLANN,SEL_NN,9.61241,8.36424
SIFT,BRIEF,MAT_FLANN,SEL_NN,8.3988,9.90599
