Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SIFT,BRISK,MAT_FLANN,SEL_NN,12.5156,-0.427405
SIFT,BRISK,MAT_FLANN,SEL_NN,12.6142,35.9898
SIFT,BRISK,MAT_FLANN,SEL_NN,14.091,175.215
SIFT,BRISK,MAT_FLANN,SEL_NN,16.6894,-0.283202
SIFT,BRISK,MAT_FLANN,SEL_NN,15.7465,-0.768964
SIFT,BRISK,MAT_FLANN,SEL_NN,12.7835,-0.570798
SIFT,BRISK,MAT_FLANN,SEL_NN,11.9844,-0.324292
SIFT,BRISK,MAT_FLANN,SEL_NN,13.1241,35.1354
SIFT,BRISK,MAT_FLANN,SEL_NN,13.0241,35.0114
SIFT,BRISK,MAT_FLANN,SEL_NN,11.1746,24.5876
SIFT,BRISK,MAT_FLANN,SEL_NN,12.8086,173.823
SIFT,BRISK,MAT_FLANN,SEL_NN,8.95978,19.8675
SIFT,BRISK,MAT_FLANN,SEL_NN,9.96439,-0.328733
SIFT,BRISK,MAT_FLANN,SEL_NN,9.59863,-0.60128
SIFT,BRISK,MAT_FLANN,SEL_NN,8.52157,-0.784853
SIFT,BRISK,MAT_FLANN,SEL_NN,9.51552,20.3237
SIFT,BRISK,MAT_FLANN,SEL_NN,9.61241,10.8726
SIFT,BRISK,MAT_FLANN,SEL_NN,8.3988,14.7252
