Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SIFT,FREAK,MAT_FLANN,SEL_KNN,12.5156,11.3142
SIFT,FREAK,MAT_FLANN,SEL_KNN,12.6142,13.616
SIFT,FREAK,MAT_FLANN,SEL_KNN,14.091,13.5201
SIFT,FREAK,MAT_FLANN,SEL_KNN,16.6894,21.1682
SIFT,FREAK,MAT_FLANN,SEL_KNN,15.7465,13.5635
SIFT,FREAK,MAT_FLANN,SEL_KNN,12.7835,12.2446
SIFT,FREAK,MAT_FLANN,SEL_KNN,11.9844,14.8159
SIFT,FREAK,MAT_FLANN,SEL_KNN,13.1241,15.2357
SIFT,FREAK,MAT_FLANN,SEL_KNN,13.0241,14.389
SIFT,FREAK,MAT_FLANN,SEL_KNN,11.1746,11.572
SIFT,FREAK,MAT_FLANN,SEL_KNN,12.8086,12.0829
SIFT,FREAK,MAT_FLANN,SEL_KNN,8.95978,10.0929
SIFT,FREAK,MAT_FLANN,SEL_KNN,9.96439,10.312
SIFT,FREAK,MAT_FLANN,SEL_KNN,9.59863,9.89671
SIFT,FREAK,MAT_FLANN,SEL_KNN,8.52157,9.19678
SIFT,FREAK,MAT_FLANN,SEL_KNN,9.51552,9.50356
SIFT,FREAK,MAT_FLANN,SEL_KNN,9.61241,9.18097
SIFT,FREAK,MAT_FLANN,SEL_KNN,8.3988,9.93226
