Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SIFT,SIFT,MAT_BF,SEL_KNN,12.5156,11.9769
SIFT,SIFT,MAT_BF,SEL_KNN,12.6142,12.5655
SIFT,SIFT,MAT_BF,SEL_KNN,14.091,13.1739
SIFT,SIFT,MAT_BF,SEL_KNN,16.6894,19.6445
SIFT,SIFT,MAT_BF,SEL_KNN,15.7465,15.2698
SIFT,SIFT,MAT_BF,SEL_KNN,12.7835,11.1131
SIFT,SIFT,MAT_BF,SEL_KNN,11.9844,13.9096
SIFT,SIFT,MAT_BF,SEL_KNN,13.1241,15.6277
SIFT,SIFT,MAT_BF,SEL_KNN,13.0241,15.0391
SIFT,SIFT,MAT_BF,SEL_KNN,11.1746,10.5698
SIFT,SIFT,MAT_BF,SEL_KNN,12.8086,11.7091
SIFT,SIFT,MAT_BF,SEL_KNN,8.95978,11.6299
SIFT,SIFT,MAT_BF,SEL_KNN,9.96439,9.24828
SIFT,SIFT,MAT_BF,SEL_KNN,9.59863,10.644
SIFT,SIFT,MAT_BF,SEL_KNN,8.52157,10.4393
SIFT,SIFT,MAT_BF,SEL_KNN,9.51552,9.57995
SIFT,SIFT,MAT_BF,SEL_KNN,9.61241,8.88504
SIFT,SIFT,MAT_BF,SEL_KNN,8.3988,9.01264
