Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SIFT,SIFT,MAT_BF,SEL_NN,12.5156,22.3529
SIFT,SIFT,MAT_BF,SEL_NN,12.6142,-0.401139
SIFT,SIFT,MAT_BF,SEL_NN,14.091,-18.269
SIFT,SIFT,MAT_BF,SEL_NN,16.6894,-0.593549
SIFT,SIFT,MAT_BF,SEL_NN,15.7465,-0.38435
SIFT,SIFT,MAT_BF,SEL_NN,12.7835,33.6547
SIFT,SIFT,MAT_BF,SEL_NN,11.9844,-0.255842
SIFT,SIFT,MAT_BF,SEL_NN,13.1241,-0.329373
SIFT,SIFT,MAT_BF,SEL_NN,13.0241,-0.807389
SIFT,SIFT,MAT_BF,SEL_NN,11.1746,23.0917
SIFT,SIFT,MAT_BF,SEL_NN,12.8086,-0.998689
SIFT,SIFT,MAT_BF,SEL_NN,8.95978,-0.373427
SIFT,SIFT,MAT_BF,SEL_NN,9.96439,106.531
SIFT,SIFT,MAT_BF,SEL_NN,9.59863,-0.411836
SIFT,SIFT,MAT_BF,SEL_NN,8.52157,-1.43039
SIFT,SIFT,MAT_BF,SEL_NN,9.51552,-65.6772
SIFT,SIFT,MAT_BF,SEL_NN,9.61241,-6.39234
SIFT,SIFT,MAT_BF,SEL_NN,8.3988,-8.10571
