Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SIFT,SIFT,MAT_FLANN,SEL_KNN,12.5156,11.6591
SIFT,SIFT,MAT_FLANN,SEL_KNN,12.6142,12.6526
SIFT,SIFT,MAT_FLANN,SEL_KNN,14.091,13.1739
SIFT,SIFT,MAT_FLANN,SEL_KNN,16.6894,20.4452
SIFT,SIFT,MAT_FLANN,SEL_KNN,15.7465,15.0466
SIFT,SIFT,MAT_FLANN,SEL_KNN,12.7835,11.1509
SIFT,SIFT,MAT_FLANN,SEL_KNN,11.9844,14.4016
SIFT,SIFT,MAT_FLANN,SEL_KNN,13.1241,15.7467
SIFT,SIFT,MAT_FLANN,SEL_KNN,13.0241,14.4625
SIFT,SIFT,MAT_FLANN,SEL_KNN,11.1746,10.7065
SIFT,SIFT,MAT_FLANN,SEL_KNN,12.8086,12.0594
SIFT,SIFT,MAT_FLANN,SEL_KNN,8.95978,11.3523
SIFT,SIFT,MAT_FLANN,SEL_KNN,9.96439,9.66342
SIFT,SIFT,MAT_FLANN,SEL_KNN,9.59863,10.6617
SIFT,SIFT,MAT_FLANN,SEL_KNN,8.52157,10.4393
SIFT,SIFT,MAT_FLANN,SEL_KNN,9.51552,9.74405
SIFT,SIFT,MAT_FLANN,SEL_KNN,9.61241,8.86875
SIFT,SIFT,MAT_FLANN,SEL_KNN,8.3988,8.96005
