Detector Type, Descriptor Type, Matcher Type, Selector Type, ttcLidar, ttcCamera
SIFT,SIFT,MAT_FLANN,SEL_NN,12.5156,298.082
SIFT,SIFT,MAT_FLANN,SEL_NN,12.6142,-0.484299
SIFT,SIFT,MAT_FLANN,SEL_NN,14.091,33.672
SIFT,SIFT,MAT_FLANN,SEL_NN,16.6894,-1.10971
SIFT,SIFT,MAT_FLANN,SEL_NN,15.7465,-0.921149
SIFT,SIFT,MAT_FLANN,SEL_NN,12.7835,-0.434598
SIFT,SIFT,MAT_FLANN,SEL_NN,11.9844,-0.278737
SIFT,SIFT,MAT_FLANN,SEL_NN,13.1241,-0.366428
SIFT,SIFT,MAT_FLANN,SEL_NN,13.0241,-0.65996
SIFT,SIFT,MAT_FLANN,SEL_NN,11.1746,-0.355485
SIFT,SIFT,MAT_FLANN,SEL_NN,12.8086,-1.01336
SIFT,SIFT,MAT_FLANN,SEL_NN,8.95978,-0.398358
SIFT,SIFT,MAT_FLANN,SEL_NN,9.96439,-3.24108
SIFT,SIFT,MAT_FLANN,SEL_NN,9.59863,-0.360402
SIFT,SIFT,MAT_FLANN,SEL_NN,8.52157,-0.367191
SIFT,SIFT,MAT_FLANN,SEL_NN,9.51552,-47.1472
SIFT,SIFT,MAT_FLANN,SEL_NN,9.61241,10.9988
SIFT,SIFT,MAT_FLANN,SEL_NN,8.3988,38.596
